	sch	sch_comment	wmo	wmo_comment	min_date	max_date	station
4047	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-89564
4050	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-29	2013-01-01	0-20000-0-96996
4056	M__	M__ Multiple instruments, use 31313 info   If 31313 is not present, apply no corrections.  (This instrument type should be assigned only when all or almost all observations	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-03005
4058	RZD	RZD exact type insufficiently documented	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-35121
4059	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72230
4060	BFa	BFa South Africa InterMet Africa iMet-2-AA 403 MHz no pres GPS sonde, automatic solar and IR corr {~2009} 31313=49908  [F=T403FL,P=none,T=TB,U=A,N=G]	99	iMet-2/iMet-3200 GPS radiosonde with derived pressure from GPS height (South Africa)        	2012-12-31	2013-01-01	0-20000-0-06011
4061	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	69	MARL-A or Vektor-M-RZM-2 (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-31977
4062	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72340
4063	ZKN	ZKN Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF, new RH coefficients {1999} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR,U=C,W=Da(ART-2)]	152	Vaisala RS92-NGP/Intermet IMS-2000 (United States)                          	2012-12-31	2013-01-01	0-20000-0-72201
4065	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	177	Modem GPSonde M10 (France)                           	2012-12-30	2013-01-01	0-20001-0-37789
4066	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72235
4073	BKg	BKg South Korea Jinyang 403 MHz RSG-20A GPS radiosonde {2010?} 31313=52108  [F=T403DL,P=Ac,T=T,U=A,N=G]	121	Jin Yang 1524LA LORAN-C/GL5000 (Republic of Korea)                        	2012-12-31	2013-01-01	0-20000-0-47169
4074	RRb	RRb USSR MARS-2-2 radiosonde, automated processing, dew point to or near top {~1987} 31313=72903 	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-34247
4075	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-02963
4077	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	80	Vaisala RS92/Digicora III (Finland)               	2003-05-14	2013-03-29	0-20001-0-38507
4082	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72261
4085	VN6	VN6 Vaisala RS92 Autosonde auto corr, LoRAN wind 31313=48106  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=L]	177	Modem GPSonde M10 (France)                           	2012-12-31	2013-01-01	0-20000-0-07510
4086	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20001-0-72403
4087	RV7	RV7 Russia AVK-RF95-ARMA 1780 MHz Vaisala sensors radiosonde {1997} 31313=47603 auto corr  (W3=76) [F=T1780PL,P=0,T=Tc(Thermocap),U=A(A-Humicap),W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-23205
4090	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20001-0-01004
4091	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-54511
4099	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-78807
4100	BFa	BFa South Africa InterMet Africa iMet-2-AA 403 MHz no pres GPS sonde, automatic solar and IR corr {~2009} 31313=49908  [F=T403FL,P=none,T=TB,U=A,N=G]	99	iMet-2/iMet-3200 GPS radiosonde with derived pressure from GPS height (South Africa)        	2012-12-31	2013-01-01	0-20000-0-68098
4103	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-70326
4105	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72210
4108	V18	V18 Vaisala RS18 hair hygrometer radiosonde {1972} WMO instr=35  (W3=35, T=031) [F=T25,400,1680FR,P=2Ac,T=BRc,U=Hrc]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-82765
4109	RV7	RV7 Russia AVK-RF95-ARMA 1780 MHz Vaisala sensors radiosonde {1997} 31313=47603 auto corr  (W3=76) [F=T1780PL,P=0,T=Tc(Thermocap),U=A(A-Humicap),W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-24507
4116	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-30	2013-01-01	0-20000-0-74494
4117	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-27730
4119	M__	M__ Multiple instruments, use 31313 info   If 31313 is not present, apply no corrections.  (This instrument type should be assigned only when all or almost all observations	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-08023
4120	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-30	2013-01-03	0-20000-0-94312
4123	???	??? Unknown instrument category because data is not available for checking 	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-17030
4128	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-71119
4131	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72768
4132	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72572
4135	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	68	AVK-RZM-2 (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-29612
4136	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71836
4137	RHM	RHM Russia MRZ-3AK1 (previously MRZ* or BAR) 1680 MHz radiosonde, MARL-A or Vektor-M {2004} 31313=58903  (W3=89) [F=T1780PL,P=0,T=TR(MMT-1),	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-28722
4138	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-85799
4141	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	51	VIZ-B2 (United States)                	2012-12-31	2013-01-01	0-20000-0-70316
4145	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82599
4146	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72363
4147	ZK2	ZK2 VIZ or Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF {1997} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR (ML-405?),U=C,W=Da(ART-2)] NWS part	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20001-0-72520
4150	FGC	FGC France Geolink-Modem M2K2-DC 1680 MHz improved radiation protection {2006} 31313=45708  [F=T1680DL,P=0,T=TC,U=A,N=GC]	177	Modem GPSonde M10 (France)                           	2012-12-31	2013-01-01	0-20000-0-91938
4155	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72206
4158	G4	[23,24,25|05,15] French Mesural or Metox (There may be some radiation heating at 300 mb through 1976 as in stations 65578 and 91925)	177	Modem GPSonde M10 (France)                           	2012-12-31	2013-01-01	0-20000-0-81405
4159	RHM	RHM Russia MRZ-3AK1 (previously MRZ* or BAR) 1680 MHz radiosonde, MARL-A or Vektor-M {2004} 31313=58903  (W3=89) [F=T1780PL,P=0,T=TR(MMT-1),	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-22543
4161	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72632
4165	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-29698
4168	RPA	RPA Ukraine PAZA-12M with UL radiotheodolite {~2010} 31313=01503  (W3=115)	115	PAZA-12M/Radiotheodolite-UL (Ukraine)                             	2012-12-28	2013-01-03	0-20000-0-33966
4169	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-91532
4173	RHA	RHA Russia MRZ-3AK1 (previously MRZ* or BAR) 1780 MHz radiosonde with AVK {2004} 31313=55803  (W3=58) [F=T1780PL,P=0,T=TR(MMT-1),U=A(Honeywell HIH4000),W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-20891
4174	???	??? Unknown instrument category because data is not available for checking 	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-82678
4176	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	58	AVK-BAR (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-34122
4178	RHM	RHM Russia MRZ-3AK1 (previously MRZ* or BAR) 1680 MHz radiosonde, MARL-A or Vektor-M {2004} 31313=58903  (W3=89) [F=T1780PL,P=0,T=TR(MMT-1),	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-27038
4180	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-32540
4181	BCK	BCK Czech MARS 1 K radiosonde, assumed similar to RKZ-2 {~ 1970} 	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-11952
4182	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-12982
4183	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-30	2013-01-01	0-20000-0-21824
4185	RPK	RPK Ukraine PAZA-22M with MARL-A radar {~2009} 31313=58803 or 31313=52716 or *48** 	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-36003
4186	RZK	RZK Russia MRZ-3A 1780 MHz radiosonde with AVK-ARMA ground station {1997} 31313=57503 (moist)  (W3=75) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-22113
4187	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20001-0-71906
4191	RZK	RZK Russia MRZ-3A 1780 MHz radiosonde with AVK-ARMA ground station {1997} 31313=57503 (moist)  (W3=75) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	58	AVK-BAR (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-23472
4192	RZK	RZK Russia MRZ-3A 1780 MHz radiosonde with AVK-ARMA ground station {1997} 31313=57503 (moist)  (W3=75) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-30230
4193	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-40417
4196	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-13275
4197	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72365
4198	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-97560
4199	FGT	FGT France Geolink-Modem GPSonde M10 {2010} (31313=47708)  [F=T403DL,P=0,T=TC,U=A,N=GC]	177	Modem GPSonde M10 (France)                           	2012-12-31	2013-01-01	0-20000-0-07145
4200	Zql	Zql Sippican 1543-611 MK II Microsonde 403 MHz LoRAN-C chip thermistor, no corr {~ 2003} 31313=08606  (W3=86) [F=T403DL,P=Ac,T=TC,U=C,N=L]	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20001-0-72518
4201	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72248
4204	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72501
4205	ZKN	ZKN Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF, new RH coefficients {1999} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR,U=C,W=Da(ART-2)]	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72293
4206	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-08302
4209	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71816
4213	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-26298
4216	HY2	HY2 China GTS(U)-2 400 MHz radiosonde, Tianjing {~2009?}  [F=T400DL,P=?,T=TB,U=A]	131	Taiyuan GTS1-1/GFE(L) (China )                           	2012-12-31	2013-01-01	0-20001-0-51463
4219	VGL	VGL Vaisala RS80 DigiCORA III auto corr, LoRAN wind 31313=46706  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=L]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-01028
4223	RPK	RPK Ukraine PAZA-22M with MARL-A radar {~2009} 31313=58803 or 31313=52716 or *48** 	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-35700
4224	C@	Mixed carbon and capacitive, capacitive models unknown (17030 and other Turkish stations)	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-17130
4226	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72240
4227	VD_	VD_ Vaisala RS80 PC Cora base case 31313=96299  (W3=62) [F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=none]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-10771
4231	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-61901
4233	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72274
4234	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	71	Vaisala RS90/Loran/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-16622
4240	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72317
4245	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-23415
4246	???	??? Unknown instrument category because data is not available for checking 	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-13	2013-01-07	0-20000-0-76256
4247	BFa	BFa South Africa InterMet Africa iMet-2-AA 403 MHz no pres GPS sonde, automatic solar and IR corr {~2009} 31313=49908  [F=T403FL,P=none,T=TB,U=A,N=G]	99	iMet-2/iMet-3200 GPS radiosonde with derived pressure from GPS height (South Africa)        	2012-12-31	2013-01-01	0-20000-0-04320
4249	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-30	2013-01-01	0-20000-0-03882
4252	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72528
4253	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-30	2013-01-01	0-20000-0-72215
4254	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	81	Vaisala RS92/Autosonde (Finland)                	2012-11-27	2013-01-18	0-20000-0-02527
4255	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-30	2013-01-01	0-20000-0-27707
4259	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-11-29	2013-03-21	0-20000-0-16716
4260	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71907
4261	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-23921
4262	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-70273
4266	ZK2	ZK2 VIZ or Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF {1997} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR (ML-405?),U=C,W=Da(ART-2)] NWS part	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72597
4269	RV7	RV7 Russia AVK-RF95-ARMA 1780 MHz Vaisala sensors radiosonde {1997} 31313=47603 auto corr  (W3=76) [F=T1780PL,P=0,T=Tc(Thermocap),U=A(A-Humicap),W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-27459
4271	RZW	RZW Russia MRZ-3A radiosonde with MARL-A or Vektor-M phased-array radiotheodolite {2004} 31313=58803  (W3=88) [F=T1680PL,P=0,T=TR(MMT-1),U=G,W=Ta]	69	MARL-A or Vektor-M-RZM-2 (Russian Federation)              	2012-12-31	2013-01-01	0-20001-0-29634
